n,k,x,y
25,15,7.347315653655912,-10.112712429686844
25,16,9.631415534697368,-7.96779987185862
25,17,11.310338155825246,-5.322241144563403
25,18,12.278590634108609,-2.3422664323215585
25,19,12.475334105353394,0.7848814941164097
25,20,11.88820645368942,3.8627124296868396
25,21,10.554099068775189,6.697834937237459
25,22,8.556838824108613,9.11210784276764
25,23,6.021920926271452,10.953833500548289
25,24,3.1086235895606924,12.107289514107887
26,0,7.960204194457795e-16,13.0
26,1,-3.1111036357382504,12.622243626538676
26,2,-6.041401236568991,11.510928333491728
26,3,-8.620594557130339,9.730639726224313
26,4,-10.698790256617533,7.384841707505026
26,5,-12.155211154910392,4.609863531552966
26,6,-12.905215363274701,1.5669768433192
26,7,-12.905215363274701,-1.5669768433191966
26,8,-12.155211154910393,-4.609863531552963
26,9,-10.698790256617533,-7.384841707505022
26,10,-8.620594557130337,-9.730639726224315
26,11,-6.041401236568999,-11.510928333491725
26,12,-3.1111036357382504,-12.622243626538676
26,13,-2.3880612583373385e-15,-13.0
26,14,3.111103635738246,-12.622243626538678
26,15,6.041401236568984,-11.510928333491732
26,16,8.620594557130337,-9.730639726224315
26,17,10.698790256617533,-7.384841707505027
26,18,12.155211154910392,-4.609863531552968
26,19,12.905215363274701,-1.5669768433192073
26,20,12.905215363274701,1.5669768433192008
26,21,12.155211154910393,4.6098635315529615
26,22,10.698790256617542,7.384841707505013
26,23,8.620594557130342,9.73063972622431
26,24,6.04140123656899,11.510928333491728
26,25,3.111103635738252,12.622243626538676
27,0,8.266365894244634e-16,13.5
27,1,-3.113314255022942,13.136105752827621
27,2,-6.058788932706239,12.064040644366067
27,3,-8.67763273076828,10.341599982106203
27,4,-10.828663102193092,8.061640987987614
27,5,-12.395917442883698,5.347076841528617
27,6,-13.294904665664808,2.3442503985035588
27,7,-13.477160136662121,-0.7849551902914251
27,8,-12.932858416259098,-3.87184364159972
27,9,-11.691342951089924,-6.7499999999999964
27,10,-9.81954416123616,-9.2642621112279
27,11,-7.418371203955888,-11.279085454074636
27,12,-4.617271934896525,-12.685850380609764
27,13,-1.5672543406906048,-13.408717829516231
27,14,1.5672543406906116,-13.40871782951623
27,15,4.61727193489652,-12.685850380609764
27,16,7.418371203955886,-11.27908545407464
27,17,9.819544161236152,-9.264262111227907
27,18,11.691342951089919,-6.750000000000006
27,19,12.932858416259098,-3.8718436415997246
27,20,13.477160136662121,-0.78495519029143
27,21,13.294904665664808,2.3442503985035654
27,22,12.395917442883702,5.3470768415286125
27,23,10.828663102193095,8.061640987987609
27,24,8.677632730768284,10.3415999821062
27,25,6.058788932706244,12.064040644366063
27,26,3.113314255022935,13.136105752827623
28,0,8.572527594031472e-16,14.0
28,1,-3.1152930753884007,13.648990770545531
28,2,-6.074372347645813,12.613564150633868
28,3,-8.728857226022269,10.945640754552418
28,4,-10.945640754552418,8.72885722602227
28,5,-12.613564150633866,6.074372347645816
28,6,-13.648990770545531,3.115293075388403
28,7,-14.0,1.7145055188062944e-15
28,8,-13.648990770545531,-3.1152930753884
28,9,-12.613564150633868,-6.074372347645812
28,10,-10.945640754552418,-8.728857226022267
28,11,-8.728857226022273,-10.945640754552416
28,12,-6.0743723476458165,-12.613564150633866
