n,radius,central_angle_rad,central_angle_deg,side_chord,circumscribed_side,apothem,spoke_base_angle_deg,diag2,diag2_over_side,apothem_over_radius,vertices_shared_with_smaller_dgon,smallest_proper_divisor_gon,n_is_prime_like,euler_totient,predicted_shared_from_totient
120,60.0,0.05235987755982988,3.0,3.141233796944778,3.1423105883024314,59.97943949853344,88.5,6.280314749153259,1.9993146499511145,0.9996573249755573,87,2,0,32,87
121,60.5,0.051927151299004846,2.975206611570248,3.141239703750082,3.1422987674614467,60.4796094008625,88.51239669421487,6.280361993959868,1.999325930607025,0.9996629653035124,10,11,0,110,10
122,61.0,0.05150151891130808,2.9508196721311473,3.1412454659086038,3.1422872362067653,60.97977651837309,88.52459016393442,6.2804080819822765,1.999336935028626,0.999668467514313,61,2,0,60,61
123,61.5,0.05108280737544379,2.926829268292683,3.1412510881048727,3.1422759851552216,61.479940918972666,88.53658536585365,6.280453050677925,1.9993476721617127,0.9996738360808564,42,3,0,80,42
124,62.0,0.050670849251448276,2.903225806451613,3.1412565748353027,3.1422650053006658,61.98010266837869,88.54838709677419,6.280496936000376,1.999358150592861,0.9996790752964305,63,2,0,60,63
125,62.5,0.05026548245743669,2.8800000000000003,3.1412619304171847,3.1422542879959305,62.480261830206246,88.56,6.280539772471195,1.9993683785666,0.9996841892832999,24,5,0,100,24
126,63.0,0.049866550056980846,2.857142857142857,3.141267158997182,3.1422438249357962,62.980418466051425,88.57142857142857,6.280581593247843,1.9993783640016327,0.9996891820008162,89,2,0,36,89
127,63.5,0.049473900056532176,2.8346456692913384,3.141272264559359,3.142233608140889,63.48057263557078,88.58267716535433,6.280622430187853,1.9993881145061665,0.9996940572530831,0,127,1,126,0
128,64.0,0.04908738521234052,2.8125,3.141277250932773,3.142223629942457,63.98072439655707,88.59375,6.280662313909506,1.9993976373924085,0.9996988186962042,63,2,0,64,63
129,64.5,0.04870686284635338,2.7906976744186047,3.141282121798652,3.1422138829679738,64.48087380501148,88.6046511627907,6.280701273849229,1.9994069396902792,0.9997034698451392,44,3,0,84,44
130,65.0,0.0483321946706122,2.769230769230769,3.1412868806971974,3.142204360127511,64.98102091521254,88.61538461538461,6.280739338315918,1.9994160281603857,0.9997080140801929,81,2,0,48,81
131,65.5,0.0479632466196915,2.7480916030534353,3.141291531034011,3.142195054600835,65.48116577978178,88.62595419847328,6.280776534542367,1.9994249093063132,0.9997124546531568,0,131,1,130,0
132,66.0,0.04759988869075444,2.727272727272727,3.1412960760861917,3.1421859598251896,65.98130844974652,88.63636363636364,6.2808128887339825,1.9994335893862583,0.9997167946931291,91,2,0,40,91
133,66.5,0.04724199479082396,2.706766917293233,3.141300519008115,3.1421770694837217,66.48144897459983,88.64661654135338,6.280848426114945,1.9994420744240546,0.9997210372120275,24,7,0,108,24
134,67.0,0.046889442590892436,2.6865671641791047,3.141304862836899,3.1421683774945004,66.98158740235766,88.65671641791045,6.280883170971968,1.999450370219632,0.9997251851098158,67,2,0,66,67
135,67.5,0.046542113386515455,2.6666666666666665,3.141309110497603,3.1421598780001134,67.48172377961366,88.66666666666667,6.280917146695798,1.9994584823589236,0.9997292411794616,62,3,0,72,62
136,68.0,0.04619989196455578,2.6470588235294117,3.141313264808149,3.142151565357793,67.98185815159133,88.6764705882353,6.280950375820584,1.9994664162232747,0.9997332081116371,71,2,0,64,71
137,68.5,0.045862666475763404,2.627737226277372,3.1413173284839973,3.142143434130044,68.4819905621941,88.6861313868613,6.280982880061252,1.999474176998368,0.999737088499184,0,137,1,136,0
